relative_path,treatment,sample,angle,group_id,source_path
treatment_1/sample_H/6Oclock/rep_000.npy,treatment_1,sample_H,6Oclock,treatment_1/sample_H/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/H/Angle_6Oclock/sample_1_H_6oclock_ST026791__67__6365.txt
treatment_1/sample_H/6Oclock/rep_001.npy,treatment_1,sample_H,6Oclock,treatment_1/sample_H/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/H/Angle_6Oclock/sample_1_H_6oclock_ST026791__145__6443.txt
treatment_1/sample_H/6Oclock/rep_002.npy,treatment_1,sample_H,6Oclock,treatment_1/sample_H/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/H/Angle_6Oclock/sample_1_H_6oclock_ST026791__6__6304.txt
treatment_1/sample_H/6Oclock/rep_003.npy,treatment_1,sample_H,6Oclock,treatment_1/sample_H/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/H/Angle_6Oclock/sample_1_H_6oclock_ST026791__73__6371.txt
treatment_1/sample_H/6Oclock/rep_004.npy,treatment_1,sample_H,6Oclock,treatment_1/sample_H/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/H/Angle_6Oclock/sample_1_H_6oclock_ST026791__121__6419.txt
treatment_1/sample_H/6Oclock/rep_005.npy,treatment_1,sample_H,6Oclock,treatment_1/sample_H/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/H/Angle_6Oclock/sample_1_H_6oclock_ST026791__33__6331.txt
treatment_1/sample_H/6Oclock/rep_006.npy,treatment_1,sample_H,6Oclock,treatment_1/sample_H/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/H/Angle_6Oclock/sample_1_H_6oclock_ST026791__105__6403.txt
treatment_1/sample_H/6Oclock/rep_007.npy,treatment_1,sample_H,6Oclock,treatment_1/sample_H/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/H/Angle_6Oclock/sample_1_H_6oclock_ST026791__27__6325.txt
treatment_1/sample_H/6Oclock/rep_008.npy,treatment_1,sample_H,6Oclock,treatment_1/sample_H/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/H/Angle_6Oclock/sample_1_H_6oclock_ST026791__48__6346.txt
treatment_1/sample_H/6Oclock/rep_009.npy,treatment_1,sample_H,6Oclock,treatment_1/sample_H/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/H/Angle_6Oclock/sample_1_H_6oclock_ST026791__135__6433.txt
treatment_1/sample_H/6Oclock/rep_010.npy,treatment_1,sample_H,6Oclock,treatment_1/sample_H/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/H/Angle_6Oclock/sample_1_H_6oclock_ST026791__90__6388.txt
treatment_1/sample_H/6Oclock/rep_011.npy,treatment_1,sample_H,6Oclock,treatment_1/sample_H/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/H/Angle_6Oclock/sample_1_H_6oclock_ST026791__17__6315.txt
treatment_1/sample_H/6Oclock/rep_012.npy,treatment_1,sample_H,6Oclock,treatment_1/sample_H/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/H/Angle_6Oclock/sample_1_H_6oclock_ST026791__78__6376.txt
treatment_1/sample_H/6Oclock/rep_013.npy,treatment_1,sample_H,6Oclock,treatment_1/sample_H/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/H/Angle_6Oclock/sample_1_H_6oclock_ST026791__95__6393.txt
