relative_path,treatment,sample,angle,group_id,source_path
treatment_1/sample_A/6Oclock/rep_000.npy,treatment_1,sample_A,6Oclock,treatment_1/sample_A/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/A/Angle_6Oclock/sample_1_A_6oclock_ST026791__50__2148.txt
treatment_1/sample_A/6Oclock/rep_001.npy,treatment_1,sample_A,6Oclock,treatment_1/sample_A/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/A/Angle_6Oclock/sample_1_A_6oclock_ST026791__55__2153.txt
treatment_1/sample_A/6Oclock/rep_002.npy,treatment_1,sample_A,6Oclock,treatment_1/sample_A/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/A/Angle_6Oclock/sample_1_A_6oclock_ST026791__118__2216.txt
treatment_1/sample_A/6Oclock/rep_003.npy,treatment_1,sample_A,6Oclock,treatment_1/sample_A/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/A/Angle_6Oclock/sample_1_A_6oclock_ST026791__83__2181.txt
treatment_1/sample_A/6Oclock/rep_004.npy,treatment_1,sample_A,6Oclock,treatment_1/sample_A/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/A/Angle_6Oclock/sample_1_A_6oclock_ST026791__137__2235.txt
treatment_1/sample_A/6Oclock/rep_005.npy,treatment_1,sample_A,6Oclock,treatment_1/sample_A/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/A/Angle_6Oclock/sample_1_A_6oclock_ST026791__15__2113.txt
treatment_1/sample_A/6Oclock/rep_006.npy,treatment_1,sample_A,6Oclock,treatment_1/sample_A/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/A/Angle_6Oclock/sample_1_A_6oclock_ST026791__10__2108.txt
treatment_1/sample_A/6Oclock/rep_007.npy,treatment_1,sample_A,6Oclock,treatment_1/sample_A/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/A/Angle_6Oclock/sample_1_A_6oclock_ST026791__123__2221.txt
treatment_1/sample_A/6Oclock/rep_008.npy,treatment_1,sample_A,6Oclock,treatment_1/sample_A/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/A/Angle_6Oclock/sample_1_A_6oclock_ST026791__97__2195.txt
treatment_1/sample_A/6Oclock/rep_009.npy,treatment_1,sample_A,6Oclock,treatment_1/sample_A/6Oclock,/Users/mathewyoussef/Desktop/extremophile_detection/Data/Final_Experiment_August_18_2025/Treatment_1_UVA140p49_UVB92p06/A/Angle_6Oclock/sample_1_A_6oclock_ST026791__113__2211.txt
